target	name	probe count	reads hit	reads tested	total size	strains
9473	Insecta_Coleoptera_Curculionidae_Aegorhinus	0	0	14922	15122	1
9474	Insecta_Coleoptera_Curculionidae_Aegorhinus_superciliosus	1906	14922	14922	15122	1
9475	Insecta_Coleoptera_Curculionidae_Anisandrus	0	0	16466	16666	1
9476	Insecta_Coleoptera_Curculionidae_Anisandrus_dispar	2189	16466	16466	16666	1
9477	Insecta_Coleoptera_Curculionidae_Arachnobas	0	0	15580	15780	1
9478	Insecta_Coleoptera_Curculionidae_Arachnobas_tricolor	2107	15580	15580	15780	1
9479	Insecta_Coleoptera_Curculionidae_Bradybatus	0	0	16203	16403	1
9480	Insecta_Coleoptera_Curculionidae_Bradybatus_kellneri	2233	16203	16203	16403	1
9481	Insecta_Coleoptera_Curculionidae_Curculio	76	0	34045	34445	2
9482	Insecta_Coleoptera_Curculionidae_Curculio_davidi	1967	16626	16653	16853	1
9483	Insecta_Coleoptera_Curculionidae_Curculio_elephas	1918	17392	17392	17592	1
9484	Insecta_Coleoptera_Curculionidae_Cyclorhipidion	0	0	15700	15900	1
9485	Insecta_Coleoptera_Curculionidae_Cyclorhipidion_bodoanus	2166	15569	15700	15900	1
9486	Insecta_Coleoptera_Curculionidae_Dryocoetes	0	0	32516	32916	2
9487	Insecta_Coleoptera_Curculionidae_Dryocoetes_autographus	1979	15718	16856	17056	1
9488	Insecta_Coleoptera_Curculionidae_Dryocoetes_villosus	2183	15660	15660	15860	1
9489	Insecta_Coleoptera_Curculionidae_Eucryptorrhynchus	47	171	77466	78466	5
9490	Insecta_Coleoptera_Curculionidae_Eucryptorrhynchus_brandti	1768	45380	47041	47641	3
9491	Insecta_Coleoptera_Curculionidae_Eucryptorrhynchus_chinensis	1639	29434	30425	30825	2
9492	Insecta_Coleoptera_Curculionidae_Euplatypus	640	13182	16144	16344	1
9493	Insecta_Coleoptera_Curculionidae_Gnathotrichus	0	0	16672	16872	1
9494	Insecta_Coleoptera_Curculionidae_Gnathotrichus_materiarius	2504	16672	16672	16872	1
9495	Insecta_Coleoptera_Curculionidae_Hylastes	143	0	63787	64587	4
9496	Insecta_Coleoptera_Curculionidae_Hylastes_ater	1558	15108	15108	15308	1
9497	Insecta_Coleoptera_Curculionidae_Hylastes_attenuatus	2277	17210	17210	17410	1
9498	Insecta_Coleoptera_Curculionidae_Hylastes_brunneus	1741	15575	15575	15775	1
9499	Insecta_Coleoptera_Curculionidae_Hylastes_opacus	1940	15894	15894	16094	1
9500	Insecta_Coleoptera_Curculionidae_Hylobitelus	0	0	15924	16124	1
9501	Insecta_Coleoptera_Curculionidae_Hylobitelus_xiaoi	2022	15924	15924	16124	1
9502	Insecta_Coleoptera_Curculionidae_Hylurgops	0	0	16034	16234	1
9503	Insecta_Coleoptera_Curculionidae_Hylurgops_palliatus	2003	16034	16034	16234	1
9504	Insecta_Coleoptera_Curculionidae_Hypothenemus	92	6999	98369	99569	6
9505	Insecta_Coleoptera_Curculionidae_Hypothenemus_hampei	1992	15488	15488	15688	1
9506	Insecta_Coleoptera_Curculionidae_Ips	0	0	18380	18580	1
9507	Insecta_Coleoptera_Curculionidae_Ips_sexdentatus	2218	18248	18380	18580	1
9508	Insecta_Coleoptera_Curculionidae_Naupactus	0	0	14827	15027	1
9509	Insecta_Coleoptera_Curculionidae_Naupactus_xanthographus	1636	14827	14827	15027	1
9510	Insecta_Coleoptera_Curculionidae_Orthotomicus	0	0	18688	18888	1
9511	Insecta_Coleoptera_Curculionidae_Orthotomicus_laricis	2572	18688	18688	18888	1
9512	Insecta_Coleoptera_Curculionidae_Pachyrhinus	0	0	16273	16473	1
9513	Insecta_Coleoptera_Curculionidae_Pachyrhinus_yasumatsui	2107	16273	16273	16473	1
9514	Insecta_Coleoptera_Curculionidae_Pantoxystus	0	0	17798	17998	1
9515	Insecta_Coleoptera_Curculionidae_Pantoxystus_rubricollis	2037	17798	17798	17998	1
9516	Insecta_Coleoptera_Curculionidae_Phloeophthorus	1761	15250	15250	15450	1
9517	Insecta_Coleoptera_Curculionidae_Pityogenes	9	0	36313	36713	2
9518	Insecta_Coleoptera_Curculionidae_Pityogenes_bidentatus	2278	18582	18582	18782	1
9519	Insecta_Coleoptera_Curculionidae_Pityogenes_trepanatus	2211	17731	17731	17931	1
9520	Insecta_Coleoptera_Curculionidae_Pityophthorus	0	0	17117	17317	1
9521	Insecta_Coleoptera_Curculionidae_Pityophthorus_pubescens	2346	17117	17117	17317	1
9522	Insecta_Coleoptera_Curculionidae_Platypodinae	170	19076	154937	156937	10
9523	Insecta_Coleoptera_Curculionidae_Rhynchophorus	0	0	15725	15925	1
9524	Insecta_Coleoptera_Curculionidae_Rhynchophorus_ferrugineus	2018	15657	15725	15925	1
9525	Insecta_Coleoptera_Curculionidae_Romualdius	0	0	16128	16328	1
9526	Insecta_Coleoptera_Curculionidae_Romualdius_bifoveolatus	1679	13530	16128	16328	1
9527	Insecta_Coleoptera_Curculionidae_Sciobius	1695	12423	12423	12623	1
9528	Insecta_Coleoptera_Curculionidae_Scolytinae	79	10241	483710	489510	29
9529	Insecta_Coleoptera_Curculionidae_Setarhynchus	1493	11973	11973	12173	1
9530	Insecta_Coleoptera_Curculionidae_Sitona	0	0	14134	14334	1
9531	Insecta_Coleoptera_Curculionidae_Sitona_callosus	1721	14088	14134	14334	1
9532	Insecta_Coleoptera_Curculionidae_Sitophilus	92	0	84524	85524	5
9533	Insecta_Coleoptera_Curculionidae_Sitophilus_granarius	2141	17035	17035	17235	1
9534	Insecta_Coleoptera_Curculionidae_Sitophilus_oryzae	2193	49583	49583	50183	3
9535	Insecta_Coleoptera_Curculionidae_Sitophilus_zeamais	2237	17906	17906	18106	1
9536	Insecta_Coleoptera_Curculionidae_Sphenophorus	1764	14695	14853	15053	1
9537	Insecta_Coleoptera_Curculionidae_Sympiezomias	0	0	15393	15593	1
9538	Insecta_Coleoptera_Curculionidae_Sympiezomias_velatus	1984	15393	15393	15593	1
9539	Insecta_Coleoptera_Curculionidae_Tomicus	0	0	16822	17022	1
9540	Insecta_Coleoptera_Curculionidae_Tomicus_piniperda	1147	11225	16822	17022	1
9541	Insecta_Coleoptera_Curculionidae_Trigonopterus	286	20247	141575	143375	9
9542	Insecta_Coleoptera_Curculionidae_Tropiphorus	0	0	14989	15189	1
9543	Insecta_Coleoptera_Curculionidae_Tropiphorus_elevatus	2071	14989	14989	15189	1
9544	Insecta_Coleoptera_Curculionidae_Trypodendron	132	0	33497	33897	2
9545	Insecta_Coleoptera_Curculionidae_Trypodendron_domesticum	1885	16787	16787	16987	1
